date,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,CAT
2017-01-31,0.0194,-0.0144,-0.0276,-0.0051,-0.0106,0.0004,-0.009300000000000001,0.0010486556513020218
2017-02-28,0.0355,-0.023,-0.015,0.0045000000000000005,-0.018000000000000002,0.0004,-0.0151,-0.006984505916887703
2017-03-31,0.0017000000000000001,0.0075,-0.0333,0.0063,-0.0095,0.0003,-0.0097,0.02386964726098192
2017-04-30,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.0048,0.0017271482962056281
2017-05-31,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,0.015,0.003076847732558133
2017-06-30,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,-0.001,0.0063040389608401415
2017-07-31,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.0163,0.006934851234309941
2017-08-31,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,0.0331,-0.004782430574691493
2017-09-30,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,-0.013500000000000002,-0.0012839163666345937
2017-10-31,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.0421,-0.0027059330594213513
2017-11-30,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,-0.009399999999999999,0.00772748610971874
2017-12-31,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,-0.0155,-0.011653585204678364
2018-01-31,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.0408,0.012178670987372978
2018-02-28,-0.0364,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,0.0368,0.001663557637795278
2018-03-31,-0.0235,0.0361,-0.0021,-0.0040999999999999995,0.0008,0.0012,-0.012,0.0002622023819938866
2018-04-30,0.0029,0.0089,0.0053,-0.0242,0.0124,0.0014000000000000002,0.0045000000000000005,-0.0016301047679683073
2018-05-31,0.0263,0.0471,-0.031400000000000004,-0.019799999999999998,-0.0149,0.0014000000000000002,0.0391,-0.010729743686369558
2018-06-30,0.0049,0.0077,-0.0233,0.0083,0.002,0.0014000000000000002,-0.0226,-0.016812676329168996
2018-07-31,0.032,-0.019299999999999998,0.0049,0.015300000000000001,0.0031,0.0016,-0.0143,-0.003062673326001958
2018-08-31,0.0346,0.006500000000000001,-0.0391,-0.0029,-0.025699999999999997,0.0016,0.053,-0.01214041998663102
2018-09-30,0.0006,-0.024900000000000002,-0.016200000000000003,0.006500000000000001,0.013600000000000001,0.0015,-0.0008,0.003267563916026719
2018-10-31,-0.0764,-0.0438,0.0338,0.0103,0.036000000000000004,0.0019,-0.0206,0.00579924765720205
2018-11-30,0.0171,-0.008100000000000001,0.0036,-0.0060999999999999995,0.004,0.0018,-0.013999999999999999,-0.010469626931582387
2018-12-31,-0.0955,-0.0281,-0.0192,-0.0003,0.0024,0.0019,0.0176,-0.005736001817477687
2019-01-31,0.0836,0.0291,-0.0039000000000000003,-0.0073,-0.0165,0.0021,-0.0862,-0.0012346021090887116
2019-02-28,0.0342,0.0172,-0.026600000000000002,0.0016,-0.0154,0.0018,0.005,-0.026578132226377102
2019-03-31,0.011000000000000001,-0.0352,-0.0414,0.0088,-0.009000000000000001,0.0019,0.022400000000000003,0.0028874824352120975
2019-04-30,0.0397,-0.0115,0.0213,0.0161,-0.0218,0.0021,-0.0291,0.00016337614103510006
2019-05-31,-0.0692,-0.015600000000000001,-0.0245,-0.0048,0.0176,0.0021,0.0755,0.02718509232355247
2019-06-30,0.0699,0.0019,-0.0064,0.0045000000000000005,-0.0055000000000000005,0.0018,-0.022400000000000003,0.015785912376694723
2019-07-31,0.012199999999999999,-0.0182,0.005,-0.0013,0.0037,0.0019,0.0292,0.0014539603770835768
2019-08-31,-0.0255,-0.0325,-0.04769999999999999,0.0053,-0.0062,0.0016,0.0751,-0.008689834433261545
2019-09-30,0.014199999999999999,0.0029,0.0676,0.0182,0.0338,0.0018,-0.0674,0.010380536904547365
2019-10-31,0.0207,0.0025,-0.0192,0.0043,-0.0103,0.0015,0.0013,0.0068433900097158015
2019-11-30,0.0387,0.0039000000000000003,-0.02,-0.016399999999999998,-0.011399999999999999,0.0012,-0.0263,0.02120596629387297
