variable,stat,(a) Pooled OLS,(b) Fama-MacBeth,(c) FE OLS,(d) FE OLS 2-way Cluster
N,,"264,261","264,261","264,261","264,261"
R²,,0.0016,0.0001,0.0008,0.0008
beta_CAT,coef,-0.0006***,-0.0009,-0.0003***,-0.0003
beta_CAT,se,(0.0001),(0.0006),(0.0001),(0.0006)
beta_CMA,coef,-0.0007***,-0.0006,0.0005**,0.0005
beta_CMA,se,(0.0002),(0.0016),(0.0002),(0.0010)
beta_HML,coef,0.0026***,0.0061**,0.0031***,0.0031*
beta_HML,se,(0.0003),(0.0027),(0.0003),(0.0017)
beta_MOM,coef,-0.0008***,-0.0021,-0.0023***,-0.0023
beta_MOM,se,(0.0003),(0.0030),(0.0003),(0.0020)
beta_Mkt_RF,coef,0.0033***,0.0058,-0.0006,-0.0006
beta_Mkt_RF,se,(0.0004),(0.0049),(0.0005),(0.0024)
beta_RMW,coef,0.0015***,0.0039***,0.0009***,0.0009
beta_RMW,se,(0.0001),(0.0012),(0.0002),(0.0009)
beta_SMB,coef,-0.0008***,0.0000,-0.0006**,-0.0006
beta_SMB,se,(0.0002),(0.0021),(0.0002),(0.0011)
